user_id,tipo_usuario,timestamp,valor_brl,wallet_destino,hora,eh_fracionamento,data,acima_limite_bcb,madrugada,c1_flag,c1_razoes,wallets_unicas,data_ts,n_transacoes_dia,data_com_lag,irf_contexto,entropia_wallets,c2_score_anomalia,c2_classificacao,c3_prompt_llm,c3_resposta_llm_bruta,c3_veredito,c3_justificativa,c3_rascunho_coaf,c1_flag_int,score_final,alerta_final,explicacao_xai
INSTITUCIONAL_008,B_institucional_monitorar,2024-01-03 07:24:00,351837.36,0x7EE839,7,False,2024-01-03,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-03,1,2023-12-20,33.09,2.7952888577868493,25.4,normal,,,,,,1,31.2,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_009,B_institucional_monitorar,2024-01-03 11:25:00,454914.42,0xF4C789,11,False,2024-01-03,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-03,1,2023-12-20,33.09,2.3192615045584555,31.5,normal,,,,,,1,34.9,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_010,B_institucional_monitorar,2024-01-03 12:21:00,206473.72,0x135882,12,False,2024-01-03,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-03,1,2023-12-20,33.09,1.9738290091462263,37.4,normal,,,,,,1,38.4,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_014,B_institucional_monitorar,2024-01-03 12:38:00,157354.9,0xC6329F,12,False,2024-01-03,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-03,1,2023-12-20,33.09,2.766371420026039,30.6,normal,,,,,,1,34.4,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0067,A_poupador_legitimo,2024-01-03 16:45:00,1001.67,0x35C7ED,16,False,2024-01-03,False,False,False,,1,2024-01-03,1,2023-12-20,33.09,-1.4426951595367387e-09,22.4,normal,,,,,,0,13.4,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0077,A_poupador_legitimo,2024-01-03 21:40:00,1230.16,0xD0E80B,21,False,2024-01-03,False,False,False,,1,2024-01-03,1,2023-12-20,33.09,-1.4426951595367387e-09,17.8,normal,,,,,,0,10.7,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_001,B_institucional_monitorar,2024-01-04 07:44:00,418582.71,0x500518,7,False,2024-01-04,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,2,2024-01-04,3,2023-12-21,27.3,1.5807920249573275,98.0,suspeito,,,,,,1,74.8,VERMELHO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Padrão fortemente anômalo (Isolation Forest > 70)
INSTITUCIONAL_014,B_institucional_monitorar,2024-01-04 08:38:00,94748.37,0x768DDA,8,False,2024-01-04,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-04,1,2023-12-21,27.3,2.766371420026039,22.5,normal,,,,,,1,29.5,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_001,B_institucional_monitorar,2024-01-04 09:03:00,393180.99,0x500518,9,False,2024-01-04,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,2,2024-01-04,3,2023-12-21,27.3,1.5807920249573275,93.6,suspeito,,,,,,1,72.2,VERMELHO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Padrão fortemente anômalo (Isolation Forest > 70)
INSTITUCIONAL_001,B_institucional_monitorar,2024-01-04 09:58:00,399784.33,0x22C841,9,False,2024-01-04,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,2,2024-01-04,3,2023-12-21,27.3,1.5807920249573275,93.7,suspeito,,,,,,1,72.2,VERMELHO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Padrão fortemente anômalo (Isolation Forest > 70)
INSTITUCIONAL_013,B_institucional_monitorar,2024-01-04 11:37:00,376907.79,0x5071B4,11,False,2024-01-04,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-04,1,2023-12-21,27.3,2.311726964290349,3.2,normal,,,,,,1,17.9,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0039,A_poupador_legitimo,2024-01-04 18:12:00,1204.18,0xB06ADA,18,False,2024-01-04,False,False,False,,1,2024-01-04,1,2023-12-21,27.3,-1.4426951595367387e-09,5.5,normal,,,,,,0,3.3,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0073,A_poupador_legitimo,2024-01-04 21:16:00,3075.12,0xB2793F,21,False,2024-01-04,False,False,False,,1,2024-01-04,1,2023-12-21,27.3,-1.4426951595367387e-09,5.2,normal,,,,,,0,3.1,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0001,A_poupador_legitimo,2024-01-04 21:47:00,3623.99,0x306F57,21,False,2024-01-04,False,False,False,,1,2024-01-04,1,2023-12-21,27.3,-1.4426951595367387e-09,20.1,normal,,,,,,0,12.1,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_001,C_suspeito_fracionamento,2024-01-05 00:17:00,8986.2,0x5581BD,0,True,2024-01-05,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,3,2024-01-05,3,2023-12-22,28.66,4.773845275079236,25.5,normal,,,,,,1,31.3,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_006,C_suspeito_fracionamento,2024-01-05 00:18:00,9219.77,0xBB79FF,0,False,2024-01-05,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,1,2024-01-05,1,2023-12-22,28.66,5.076069722597204,40.2,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: SUSPEITO_006
- Valor: R$ 9,219.77
- Frequencia hoje: 1 transacoes
- Entropia de Wallets: 5.08 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 40.2/100
- Flags BCB ativas: R4:fracionamento_suspeito|R5:madrugada_valor_alto
- IRF (Indice de Risco Fiscal no dia): 28.66/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,40.1,AMARELO,Regras BCB Violadas (R4:fracionamento_suspeito|R5:madrugada_valor_alto) | Desvio comportamental moderado (Isolation Forest > 40)
SUSPEITO_001,C_suspeito_fracionamento,2024-01-05 00:26:00,9163.5,0x95844B,0,True,2024-01-05,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,3,2024-01-05,3,2023-12-22,28.66,4.773845275079236,24.0,normal,,,,,,1,30.4,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_001,C_suspeito_fracionamento,2024-01-05 00:35:00,9065.95,0x6BBCA2,0,True,2024-01-05,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,3,2024-01-05,3,2023-12-22,28.66,4.773845275079236,24.9,normal,,,,,,1,30.9,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_011,B_institucional_monitorar,2024-01-05 11:01:00,387525.3,0xA6B175,11,False,2024-01-05,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-05,1,2023-12-22,28.66,1.5814282635755266,28.3,normal,,,,,,1,33.0,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_008,B_institucional_monitorar,2024-01-05 13:35:00,340686.11,0xA2B291,13,False,2024-01-05,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-05,1,2023-12-22,28.66,2.7952888577868493,11.8,normal,,,,,,1,23.1,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0076,A_poupador_legitimo,2024-01-05 15:29:00,2231.26,0xA8D652,15,False,2024-01-05,False,False,False,,1,2024-01-05,1,2023-12-22,28.66,-1.4426951595367387e-09,0.0,normal,,,,,,0,0.0,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0062,A_poupador_legitimo,2024-01-05 22:59:00,1055.51,0xF74C3D,22,False,2024-01-05,False,False,False,,1,2024-01-05,1,2023-12-22,28.66,-1.4426951595367387e-09,8.2,normal,,,,,,0,4.9,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_002,B_institucional_monitorar,2024-01-06 10:45:00,461473.27,0x72B5C4,10,False,2024-01-06,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-06,1,2023-12-23,28.66,2.295901269214299,20.7,normal,,,,,,1,28.4,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_001,B_institucional_monitorar,2024-01-06 12:07:00,370034.19,0x22C841,12,False,2024-01-06,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-06,1,2023-12-23,28.66,1.5807920249573275,27.4,normal,,,,,,1,32.4,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_005,B_institucional_monitorar,2024-01-06 13:57:00,379619.11,0xAC4F12,13,False,2024-01-06,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-06,1,2023-12-23,28.66,2.791081679435229,14.7,normal,,,,,,1,24.8,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_007,B_institucional_monitorar,2024-01-07 08:48:00,405125.41,0x56D89C,8,False,2024-01-07,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-07,1,2023-12-24,28.66,2.7786859945438245,18.3,normal,,,,,,1,27.0,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_009,B_institucional_monitorar,2024-01-07 09:02:00,462121.61,0x29DCAD,9,False,2024-01-07,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,2,2024-01-07,2,2023-12-24,28.66,2.3192615045584555,50.7,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: INSTITUCIONAL_009
- Valor: R$ 462,121.61
- Frequencia hoje: 2 transacoes
- Entropia de Wallets: 2.32 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 50.7/100
- Flags BCB ativas: R1:acima_limite_bcb|R2:volume_30d_acima_50k
- IRF (Indice de Risco Fiscal no dia): 28.66/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,46.4,AMARELO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Desvio comportamental moderado (Isolation Forest > 40)
INSTITUCIONAL_009,B_institucional_monitorar,2024-01-07 11:32:00,466241.87,0xF4C789,11,False,2024-01-07,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,2,2024-01-07,2,2023-12-24,28.66,2.3192615045584555,51.4,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: INSTITUCIONAL_009
- Valor: R$ 466,241.87
- Frequencia hoje: 2 transacoes
- Entropia de Wallets: 2.32 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 51.4/100
- Flags BCB ativas: R1:acima_limite_bcb|R2:volume_30d_acima_50k
- IRF (Indice de Risco Fiscal no dia): 28.66/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,46.8,AMARELO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Desvio comportamental moderado (Isolation Forest > 40)
SUSPEITO_000,C_suspeito_fracionamento,2024-01-08 01:26:00,8921.33,0xCCA7A7,1,True,2024-01-08,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,4,2024-01-08,4,2023-12-25,28.66,5.059437866327645,27.6,normal,,,,,,1,32.6,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_000,C_suspeito_fracionamento,2024-01-08 01:39:00,9130.08,0x950EAE,1,True,2024-01-08,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,4,2024-01-08,4,2023-12-25,28.66,5.059437866327645,24.4,normal,,,,,,1,30.6,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_000,C_suspeito_fracionamento,2024-01-08 01:44:00,8789.59,0x1377D9,1,True,2024-01-08,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,4,2024-01-08,4,2023-12-25,28.66,5.059437866327645,28.9,normal,,,,,,1,33.3,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_000,C_suspeito_fracionamento,2024-01-08 02:04:00,9553.06,0x3BEA87,2,True,2024-01-08,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,4,2024-01-08,4,2023-12-25,28.66,5.059437866327645,28.0,normal,,,,,,1,32.8,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_005,B_institucional_monitorar,2024-01-08 07:54:00,357675.96,0x4F806B,7,False,2024-01-08,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,2,2024-01-08,2,2023-12-25,28.66,2.791081679435229,47.9,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: INSTITUCIONAL_005
- Valor: R$ 357,675.96
- Frequencia hoje: 2 transacoes
- Entropia de Wallets: 2.79 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 47.9/100
- Flags BCB ativas: R1:acima_limite_bcb|R2:volume_30d_acima_50k
- IRF (Indice de Risco Fiscal no dia): 28.66/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,44.7,AMARELO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Desvio comportamental moderado (Isolation Forest > 40)
INSTITUCIONAL_010,B_institucional_monitorar,2024-01-08 09:41:00,220220.7,0xBB4B40,9,False,2024-01-08,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-08,1,2023-12-25,28.66,1.9738290091462263,26.7,normal,,,,,,1,32.0,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_001,B_institucional_monitorar,2024-01-08 10:48:00,413877.47,0x22C841,10,False,2024-01-08,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-08,1,2023-12-25,28.66,1.5807920249573275,34.0,normal,,,,,,1,36.4,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_005,B_institucional_monitorar,2024-01-08 10:48:00,321853.97,0xAC4F12,10,False,2024-01-08,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,2,2024-01-08,2,2023-12-25,28.66,2.791081679435229,46.0,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: INSTITUCIONAL_005
- Valor: R$ 321,853.97
- Frequencia hoje: 2 transacoes
- Entropia de Wallets: 2.79 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 46.0/100
- Flags BCB ativas: R1:acima_limite_bcb|R2:volume_30d_acima_50k
- IRF (Indice de Risco Fiscal no dia): 28.66/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,43.6,AMARELO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Desvio comportamental moderado (Isolation Forest > 40)
INSTITUCIONAL_003,B_institucional_monitorar,2024-01-08 11:36:00,405971.78,0x2CDF9E,11,False,2024-01-08,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-08,1,2023-12-25,28.66,2.3115013638010686,4.2,normal,,,,,,1,18.5,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_013,B_institucional_monitorar,2024-01-08 11:53:00,381245.77,0x5071B4,11,False,2024-01-08,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-08,1,2023-12-25,28.66,2.311726964290349,3.0,normal,,,,,,1,17.8,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0015,A_poupador_legitimo,2024-01-08 16:38:00,2069.81,0x7DF313,16,False,2024-01-08,False,False,False,,1,2024-01-08,1,2023-12-25,28.66,-1.4426951595367387e-09,0.0,normal,,,,,,0,0.0,VERDE,Transação alinhada ao perfil histórico do cliente.
POUPADOR_0016,A_poupador_legitimo,2024-01-08 16:40:00,3006.78,0x43AAEC,16,False,2024-01-08,False,False,False,,1,2024-01-08,1,2023-12-25,28.66,-1.4426951595367387e-09,4.2,normal,,,,,,0,2.5,VERDE,Transação alinhada ao perfil histórico do cliente.
SUSPEITO_007,C_suspeito_fracionamento,2024-01-09 01:32:00,8934.02,0xB6BD99,1,False,2024-01-09,False,True,True,R4:fracionamento_suspeito|R5:madrugada_valor_alto,1,2024-01-09,1,2023-12-26,32.88,4.902099602191403,42.6,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: SUSPEITO_007
- Valor: R$ 8,934.02
- Frequencia hoje: 1 transacoes
- Entropia de Wallets: 4.90 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 42.6/100
- Flags BCB ativas: R4:fracionamento_suspeito|R5:madrugada_valor_alto
- IRF (Indice de Risco Fiscal no dia): 32.88/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,41.6,AMARELO,Regras BCB Violadas (R4:fracionamento_suspeito|R5:madrugada_valor_alto) | Desvio comportamental moderado (Isolation Forest > 40)
INSTITUCIONAL_001,B_institucional_monitorar,2024-01-09 09:42:00,379968.43,0x22C841,9,False,2024-01-09,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,2,2024-01-09,2,2023-12-26,32.88,1.5807920249573275,65.8,cinza,"Voce e um especialista em compliance de ativos digitais e regulacao BCB.
Analise a seguinte transacao de stablecoin e determine se e suspeita:

TRANSACAO:
- User ID: INSTITUCIONAL_001
- Valor: R$ 379,968.43
- Frequencia hoje: 2 transacoes
- Entropia de Wallets: 1.58 (Alta = Smurfing suspeito)
- Score ML (Isolation Forest): 65.8/100
- Flags BCB ativas: R1:acima_limite_bcb|R2:volume_30d_acima_50k
- IRF (Indice de Risco Fiscal no dia): 32.88/100

Com base nas Resolucoes BCB 519-521/2026, essa transacao representa
risco de evasao de divisas ou lavagem de dinheiro?

Responda com: SUSPEITA / NORMAL / REQUER_INVESTIGACAO e justifique em 2 linhas.",,FALLBACK,Julgamento LLM desabilitado — analise manual requerida,,1,55.5,AMARELO,Regras BCB Violadas (R1:acima_limite_bcb|R2:volume_30d_acima_50k) | Desvio comportamental moderado (Isolation Forest > 40)
INSTITUCIONAL_008,B_institucional_monitorar,2024-01-09 10:43:00,342884.93,0xA9242D,10,False,2024-01-09,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-09,1,2023-12-26,32.88,2.7952888577868493,22.1,normal,,,,,,1,29.3,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_002,B_institucional_monitorar,2024-01-09 10:58:00,450700.01,0x503DC9,10,False,2024-01-09,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-09,1,2023-12-26,32.88,2.295901269214299,29.6,normal,,,,,,1,33.8,VERDE,Transação alinhada ao perfil histórico do cliente.
INSTITUCIONAL_011,B_institucional_monitorar,2024-01-09 12:15:00,367294.64,0x20F732,12,False,2024-01-09,True,False,True,R1:acima_limite_bcb|R2:volume_30d_acima_50k,1,2024-01-09,1,2023-12-26,32.88,1.5814282635755266,38.5,normal,,,,,,1,39.1,VERDE,Transação alinhada ao perfil histórico do cliente.
